Albion,38.3766,-88.058,2107
Albion,41.6873,-97.9989,1733
Albion,41.8904,-80.3641,1269
Albion,42.1125,-92.9886,617
Albion,46.7916,-117.2511,448
Albion,42.4098,-113.5806,371
Albion,39.2256,-123.7564,214
Albion,34.6622,-95.0993,59
Albright,39.4937,-79.6399,294
Albrightsville,41.0116,-75.6068,93
Albuquerque,35.1054,-106.6465,767499
Alburnett,42.1488,-91.6205,815
Alburtis,40.509,-75.6001,2586
Alcalde,36.0854,-106.0575,237
Alcan Border,62.6727,-141.1321,5
Alcester,43.0278,-96.6268,987
Alcoa,35.8076,-83.9753,11635
Alcolu,33.7547,-80.2221,426
Alcorn State University,31.8804,-91.1407,1007
Alcova,42.5543,-106.7263,88
Alda,40.8666,-98.468,585
Aldan,39.9224,-75.2881,4219
Alden,42.5115,-93.3805,792
Alden,43.6695,-93.5735,658
Alden,38.2444,-98.3118,110
Alden,44.8792,-85.2729,92
Alden,42.4588,-88.5184,36
Alder,45.3216,-112.1093,108
Alder,46.7872,-122.2667,77
Alderpoint,40.1613,-123.6158,62
Alderson,37.7277,-80.6436,1182
Alderson,34.9006,-95.6896,233
Alderton,47.1728,-122.2209,2857
Alderwood Manor,47.8146,-122.2672,10168
Aldie,38.9761,-77.645,168
Aldine,29.9123,-95.3784,15434
Aldora,33.0508,-84.1758,87
Aldrich,37.5489,-93.5512,61
Aldrich,46.3747,-94.9395,31
Aledo,32.6974,-97.6069,5432
Aledo,41.199,-90.7459,3753
Aleknagik,59.2946,-158.6896,109
Aleneva,58.059,-152.9091,0
Alex,34.9228,-97.7763,573
Alexander,34.6185,-92.4512,3488
Alexander,47.8393,-103.6426,268
Alexander,39.7218,-90.0368,258
Alexander,42.8044,-93.4786,230
Alexander,38.4695,-99.553,32
Alexander City,32.9229,-85.9358,14686
Alexandria,38.8185,-77.0861,156788
Alexandria,31.2923,-92.4702,73457
Alexandria,45.8776,-95.3767,14579
Alexandria,38.9621,-84.3859,10430
Alexandria,40.263,-85.6737,5145
Alexandria,33.7675,-85.8792,3420
Alexandria,36.0791,-86.0382,1145
Alexandria,43.6541,-97.7798,725
Alexandria,40.09,-82.6118,467
Alexandria,40.5583,-78.0997,401
Alexandria,40.2475,-97.3878,77
Alexandria,40.3598,-91.4595,50
Alexandria Bay,44.34,-75.9161,1296
Alexis,41.063,-90.5555,719
Alexis,35.3968,-81.119,635
Alfarata,40.6618,-77.456,120
Alford,30.6967,-85.3953,322
Alford,38.4914,-87.2428,227
Alfordsville,38.5604,-86.9481,33
Alfred,27.8742,-97.9799,246
Alger,40.7096,-83.8441,787
Alger,48.6175,-122.3368,655
Algiers,42.8182,-72.5771,182
Algodones,35.3804,-106.4731,1198
Algoma,44.6058,-87.4465,3219
Algoma,34.1788,-89.0336,1065
